SDR1,SDR2,subset_tm
Zhen_SDR_93,Zhen_SDR_7,0.52885
Zhen_SDR_93,Zhen_SDR_9,0.54235
Zhen_SDR_93,Zhen_SDR_76,0.65322
Zhen_SDR_93,Zhen_SDR_36,0.68819
Zhen_SDR_93,Zhen_SDR_44,0.57022
Zhen_SDR_93,Zhen_SDR_5,0.55851
Zhen_SDR_93,Zhen_SDR_21,0.56791
Zhen_SDR_93,Zhen_SDR_75,0.53257
Zhen_SDR_93,Zhen_SDR_42,0.69902
Zhen_SDR_93,Zhen_SDR_73,0.82663
Zhen_SDR_93,Zhen_SDR_22,0.68576
Zhen_SDR_93,Zhen_SDR_31,0.47407
Zhen_SDR_93,Zhen_SDR_43,0.60576
Zhen_SDR_93,Zhen_SDR_54,0.72608
Zhen_SDR_93,Zhen_SDR_48,0.68656
Zhen_SDR_93,Zhen_SDR_67,0.75482
Zhen_SDR_93,Zhen_SDR_20,0.62086
Zhen_SDR_93,Zhen_SDR_39,0.72362
Zhen_SDR_93,Zhen_SDR_24,0.68286
Zhen_SDR_93,Zhen_SDR_77,0.76787
Zhen_SDR_93,Zhen_SDR_11,0.50663
Zhen_SDR_93,Zhen_SDR_3,0.69944
Zhen_SDR_93,Zhen_SDR_12,0.57176
Zhen_SDR_93,Zhen_SDR_58,0.67494
Zhen_SDR_93,Zhen_SDR_92,0.63271
Zhen_SDR_93,Zhen_SDR_15,0.56124
Zhen_SDR_93,Zhen_SDR_40,0.73827
Zhen_SDR_93,Zhen_SDR_14,0.7531
Zhen_SDR_93,Zhen_SDR_28,0.68112
Zhen_SDR_93,Zhen_SDR_38,0.69417
Zhen_SDR_93,Zhen_SDR_13,0.67936
Zhen_SDR_93,Zhen_SDR_53,0.69646
Zhen_SDR_93,Zhen_SDR_87,0.84933
Zhen_SDR_93,Zhen_SDR_50,0.69153
Zhen_SDR_93,Zhen_SDR_27,0.61882
Zhen_SDR_93,Zhen_SDR_91,0.56129
Zhen_SDR_93,Zhen_SDR_55,0.65342
Zhen_SDR_93,Zhen_SDR_89,0.49777
Zhen_SDR_93,Zhen_SDR_79,0.70245
Zhen_SDR_93,Zhen_SDR_47,0.69867
Zhen_SDR_93,Zhen_SDR_69,0.58672
Zhen_SDR_93,Zhen_SDR_16,0.74457
Zhen_SDR_93,Zhen_SDR_82,0.70388
Zhen_SDR_93,Zhen_SDR_57,0.54696
Zhen_SDR_93,Zhen_SDR_18,0.67802
Zhen_SDR_93,Zhen_SDR_23,0.43771
Zhen_SDR_93,Zhen_SDR_19,0.61971
Zhen_SDR_93,Zhen_SDR_68,0.57329
Zhen_SDR_93,Zhen_SDR_33,0.70628
Zhen_SDR_93,Zhen_SDR_1,0.75412
Zhen_SDR_93,Zhen_SDR_4,0.63046
Zhen_SDR_93,Zhen_SDR_86,0.55018
Zhen_SDR_93,Zhen_SDR_72,0.57277
Zhen_SDR_93,Zhen_SDR_37,0.6977
Zhen_SDR_93,Zhen_SDR_81,0.62906
Zhen_SDR_93,Zhen_SDR_83,0.67006
Zhen_SDR_93,Zhen_SDR_46,0.72239
Zhen_SDR_93,Zhen_SDR_66,0.59055
Zhen_SDR_93,Zhen_SDR_2,0.72982
Zhen_SDR_93,Zhen_SDR_88,0.84791
Zhen_SDR_93,Zhen_SDR_63,0.65759
Zhen_SDR_93,Zhen_SDR_78,0.73662
Zhen_SDR_93,Zhen_SDR_61,0.66593
Zhen_SDR_93,Zhen_SDR_90,0.65513
Zhen_SDR_93,Zhen_SDR_32,0.85378
Zhen_SDR_93,Zhen_SDR_6,0.5575
Zhen_SDR_93,Zhen_SDR_25,0.69595
Zhen_SDR_93,Zhen_SDR_60,0.65898
Zhen_SDR_93,Zhen_SDR_65,0.7081
Zhen_SDR_93,Zhen_SDR_17,0.71694
Zhen_SDR_93,Zhen_SDR_56,0.6894
Zhen_SDR_93,Zhen_SDR_52,0.61521
Zhen_SDR_93,Zhen_SDR_35,0.74
Zhen_SDR_93,Zhen_SDR_30,0.5993
Zhen_SDR_93,Zhen_SDR_8,0.65994
Zhen_SDR_93,Zhen_SDR_71,0.61152
Zhen_SDR_93,Zhen_SDR_29,0.65498
Zhen_SDR_93,Zhen_SDR_51,0.67744
Zhen_SDR_93,Zhen_SDR_64,0.68557
Zhen_SDR_93,Zhen_SDR_59,0.66928
Zhen_SDR_93,Zhen_SDR_45,0.74568
Zhen_SDR_93,Zhen_SDR_62,0.61716
Zhen_SDR_93,Zhen_SDR_74,0.66077
Zhen_SDR_93,Zhen_SDR_10,0.58727
Zhen_SDR_93,Zhen_SDR_26,0.75918
Zhen_SDR_44,Zhen_SDR_73,0.70131
Zhen_SDR_44,Zhen_SDR_9,0.79378
Zhen_SDR_44,Zhen_SDR_76,0.6967
Zhen_SDR_93,Zhen_SDR_34,0.64629
Zhen_SDR_93,Zhen_SDR_85,0.54688
Zhen_SDR_93,Zhen_SDR_49,0.54249
Zhen_SDR_44,Zhen_SDR_7,0.64439
Zhen_SDR_44,Zhen_SDR_39,0.92579
Zhen_SDR_44,Zhen_SDR_77,0.71441
Zhen_SDR_44,Zhen_SDR_21,0.61882
Zhen_SDR_44,Zhen_SDR_20,0.72196
Zhen_SDR_44,Zhen_SDR_36,0.65114
Zhen_SDR_44,Zhen_SDR_48,0.65365
Zhen_SDR_44,Zhen_SDR_11,0.57835
Zhen_SDR_93,Zhen_SDR_80,0.6796
Zhen_SDR_44,Zhen_SDR_75,0.68832
Zhen_SDR_93,Zhen_SDR_84,0.66785
Zhen_SDR_44,Zhen_SDR_31,0.49339
Zhen_SDR_44,Zhen_SDR_5,0.85642
Zhen_SDR_44,Zhen_SDR_42,0.6957
Zhen_SDR_44,Zhen_SDR_67,0.73361
Zhen_SDR_44,Zhen_SDR_24,0.65698
Zhen_SDR_44,Zhen_SDR_54,0.69738
