Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,taxonomic_lineage
O05730,reviewed,VDLC_HELPY,Probable short-chain type dehydrogenase/reductase VdlC (EC 1.-.-.-),vdlC HP_0890,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),284,Bacteria
Q9ZKW1,reviewed,VDLC_HELPJ,Probable short-chain type dehydrogenase/reductase VdlC (EC 1.-.-.-),vdlC jhp_0823,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),271,Bacteria
Q8A945,reviewed,KDSR_BACTN,3-ketodihydrosphingosine reductase (3-KDSR) (EC 1.1.1.102) (KDS reductase),kdsr BT_0972,Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50),269,Bacteria
T2KLZ8,reviewed,PLH6_FORAG,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (P6_dehydrogenase) (Polysaccharide utilization locus H protein P6) (PUL H protein P6),kduD BN863_21950,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1),264,Bacteria
Q8KES3,reviewed,SPRE_CHLTE,Sepiapterin reductase (SPR) (cSR) (EC 1.1.1.325),CT0609,Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum),244,Bacteria
P21158,reviewed,CSGA_MYXXA,C-signal (17-kDa C-factor protein) (p17) (C-factor) (Cell surface-associated intercellular C-signal),csgA spoC,Myxococcus xanthus,166,Bacteria
P25970,reviewed,Y5909_MYXXD,Uncharacterized oxidoreductase MXAN_5909 (EC 1.-.-.-),MXAN_5909,Myxococcus xanthus (strain DK1622),253,Bacteria
Q9KWN1,reviewed,SDH_RHIRD,Serine 3-dehydrogenase (EC 1.1.1.276),sdh,Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter),249,Bacteria
P50202,reviewed,MAS1_AGRT9,Agropine synthesis reductase (EC 1.-.-.-),mas1,Agrobacterium tumefaciens (strain 15955),430,Bacteria
Q8U8I2,reviewed,SDH_AGRFC,Serine 3-dehydrogenase (EC 1.1.1.276),sdh Atu4110 AGR_L_1487,Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58)),249,Bacteria
