SDR1,SDR2,subset_sim
Zhen_SDR_23,Zhen_SDR_24,0.154394299
Zhen_SDR_23,Zhen_SDR_25,0.204610951
Zhen_SDR_23,Zhen_SDR_26,0.222841226
Zhen_SDR_23,Zhen_SDR_27,0.157746479
Zhen_SDR_23,Zhen_SDR_28,0.194528875
Zhen_SDR_23,Zhen_SDR_29,0.220779221
Zhen_SDR_23,Zhen_SDR_30,0.25
Zhen_SDR_23,Zhen_SDR_31,0.244444444
Zhen_SDR_23,Zhen_SDR_32,0.181333333
Zhen_SDR_23,Zhen_SDR_33,0.219047619
Zhen_SDR_23,Zhen_SDR_34,0.250666667
Zhen_SDR_23,Zhen_SDR_35,0.213675214
Zhen_SDR_23,Zhen_SDR_36,0.203703704
Zhen_SDR_23,Zhen_SDR_37,0.166666667
Zhen_SDR_23,Zhen_SDR_38,0.159779614
Zhen_SDR_23,Zhen_SDR_39,0.199445983
Zhen_SDR_23,Zhen_SDR_40,0.222910217
Zhen_SDR_23,Zhen_SDR_42,0.166172107
Zhen_SDR_23,Zhen_SDR_43,0.13559322
Zhen_SDR_23,Zhen_SDR_44,0.323529412
Zhen_SDR_23,Zhen_SDR_45,0.214492754
Zhen_SDR_23,Zhen_SDR_46,0.17251462
Zhen_SDR_23,Zhen_SDR_47,0.217877095
Zhen_SDR_23,Zhen_SDR_48,0.194225722
Zhen_SDR_23,Zhen_SDR_49,0.123324397
Zhen_SDR_23,Zhen_SDR_50,0.195965418
Zhen_SDR_23,Zhen_SDR_51,0.23364486
Zhen_SDR_23,Zhen_SDR_52,0.224080268
Zhen_SDR_23,Zhen_SDR_53,0.327272727
Zhen_SDR_23,Zhen_SDR_54,0.159663866
Zhen_SDR_23,Zhen_SDR_55,0.151162791
Zhen_SDR_23,Zhen_SDR_56,0.167647059
Zhen_SDR_23,Zhen_SDR_57,0.333333333
Zhen_SDR_23,Zhen_SDR_58,0.220708447
Zhen_SDR_23,Zhen_SDR_59,0.176119403
Zhen_SDR_23,Zhen_SDR_60,0.220064725
Zhen_SDR_23,Zhen_SDR_61,0.234375
Zhen_SDR_23,Zhen_SDR_62,0.401360544
Zhen_SDR_23,Zhen_SDR_63,0.129129129
Zhen_SDR_23,Zhen_SDR_64,0.177710843
Zhen_SDR_23,Zhen_SDR_65,0.092631579
Zhen_SDR_23,Zhen_SDR_66,0.242038217
Zhen_SDR_23,Zhen_SDR_67,0.171348315
Zhen_SDR_23,Zhen_SDR_68,0.249201278
Zhen_SDR_23,Zhen_SDR_69,0.217391304
Zhen_SDR_23,Zhen_SDR_71,0.271126761
Zhen_SDR_23,Zhen_SDR_72,0.229032258
Zhen_SDR_23,Zhen_SDR_73,0.210526316
Zhen_SDR_23,Zhen_SDR_74,0.160493827
Zhen_SDR_23,Zhen_SDR_75,0.278571429
Zhen_SDR_23,Zhen_SDR_76,0.242524917
Zhen_SDR_23,Zhen_SDR_77,0.11369509
Zhen_SDR_23,Zhen_SDR_78,0.20123839
Zhen_SDR_23,Zhen_SDR_79,0.204204204
Zhen_SDR_23,Zhen_SDR_80,0.332369942
Zhen_SDR_23,Zhen_SDR_81,0.209003215
Zhen_SDR_23,Zhen_SDR_82,0.222560976
Zhen_SDR_23,Zhen_SDR_83,0.131233596
Zhen_SDR_23,Zhen_SDR_84,0.257971014
Zhen_SDR_23,Zhen_SDR_85,0.25732899
Zhen_SDR_23,Zhen_SDR_86,0.304029304
Zhen_SDR_23,Zhen_SDR_87,0.199421965
Zhen_SDR_23,Zhen_SDR_88,0.233532934
Zhen_SDR_23,Zhen_SDR_89,0.137466307
Zhen_SDR_23,Zhen_SDR_90,0.194029851
Zhen_SDR_23,Zhen_SDR_91,0.031818182
Zhen_SDR_23,Zhen_SDR_92,0.18627451
Zhen_SDR_23,Zhen_SDR_93,0.222222222
Zhen_SDR_19,Zhen_SDR_20,0.312714777
Zhen_SDR_19,Zhen_SDR_21,0.359848485
Zhen_SDR_19,Zhen_SDR_22,0.291044776
Zhen_SDR_19,Zhen_SDR_23,0.225694444
Zhen_SDR_19,Zhen_SDR_24,0.203125
Zhen_SDR_19,Zhen_SDR_25,0.291139241
