SDR1,SDR2,subset_id
Zhen_SDR_23,Zhen_SDR_24,0.095011876
Zhen_SDR_23,Zhen_SDR_25,0.123919308
Zhen_SDR_23,Zhen_SDR_26,0.13091922
Zhen_SDR_23,Zhen_SDR_27,0.095774648
Zhen_SDR_23,Zhen_SDR_28,0.112462006
Zhen_SDR_23,Zhen_SDR_29,0.133116883
Zhen_SDR_23,Zhen_SDR_30,0.146103896
Zhen_SDR_23,Zhen_SDR_31,0.142857143
Zhen_SDR_23,Zhen_SDR_32,0.093333333
Zhen_SDR_23,Zhen_SDR_33,0.152380952
Zhen_SDR_23,Zhen_SDR_34,0.146666667
Zhen_SDR_23,Zhen_SDR_35,0.125356125
Zhen_SDR_23,Zhen_SDR_36,0.108024691
Zhen_SDR_23,Zhen_SDR_37,0.073770492
Zhen_SDR_23,Zhen_SDR_38,0.093663912
Zhen_SDR_23,Zhen_SDR_39,0.113573407
Zhen_SDR_23,Zhen_SDR_40,0.105263158
Zhen_SDR_23,Zhen_SDR_42,0.103857567
Zhen_SDR_23,Zhen_SDR_43,0.079096045
Zhen_SDR_23,Zhen_SDR_44,0.1875
Zhen_SDR_23,Zhen_SDR_45,0.130434783
Zhen_SDR_23,Zhen_SDR_46,0.096491228
Zhen_SDR_23,Zhen_SDR_47,0.125698324
Zhen_SDR_23,Zhen_SDR_48,0.120734908
Zhen_SDR_23,Zhen_SDR_49,0.075067024
Zhen_SDR_23,Zhen_SDR_50,0.106628242
Zhen_SDR_23,Zhen_SDR_51,0.146417445
Zhen_SDR_23,Zhen_SDR_52,0.147157191
Zhen_SDR_23,Zhen_SDR_53,0.196363636
Zhen_SDR_23,Zhen_SDR_54,0.100840336
Zhen_SDR_23,Zhen_SDR_55,0.093023256
Zhen_SDR_23,Zhen_SDR_56,0.102941176
Zhen_SDR_23,Zhen_SDR_57,0.238596491
Zhen_SDR_23,Zhen_SDR_58,0.130790191
Zhen_SDR_23,Zhen_SDR_59,0.092537313
Zhen_SDR_23,Zhen_SDR_60,0.122977346
Zhen_SDR_23,Zhen_SDR_61,0.13125
Zhen_SDR_23,Zhen_SDR_62,0.275510204
Zhen_SDR_23,Zhen_SDR_63,0.075075075
Zhen_SDR_23,Zhen_SDR_64,0.11746988
Zhen_SDR_23,Zhen_SDR_65,0.056842105
Zhen_SDR_23,Zhen_SDR_66,0.133757962
Zhen_SDR_23,Zhen_SDR_67,0.109550562
Zhen_SDR_23,Zhen_SDR_68,0.150159744
Zhen_SDR_23,Zhen_SDR_69,0.107023411
Zhen_SDR_23,Zhen_SDR_71,0.133802817
Zhen_SDR_23,Zhen_SDR_72,0.125806452
Zhen_SDR_23,Zhen_SDR_73,0.128654971
Zhen_SDR_23,Zhen_SDR_74,0.104938272
Zhen_SDR_23,Zhen_SDR_75,0.167857143
Zhen_SDR_23,Zhen_SDR_76,0.159468439
Zhen_SDR_23,Zhen_SDR_77,0.07751938
Zhen_SDR_23,Zhen_SDR_78,0.126934985
Zhen_SDR_23,Zhen_SDR_79,0.129129129
Zhen_SDR_23,Zhen_SDR_80,0.193641618
Zhen_SDR_23,Zhen_SDR_81,0.138263666
Zhen_SDR_23,Zhen_SDR_82,0.131097561
Zhen_SDR_23,Zhen_SDR_83,0.086614173
Zhen_SDR_23,Zhen_SDR_84,0.147826087
Zhen_SDR_23,Zhen_SDR_85,0.16286645
Zhen_SDR_23,Zhen_SDR_86,0.168498168
Zhen_SDR_23,Zhen_SDR_87,0.106936416
Zhen_SDR_23,Zhen_SDR_88,0.122754491
Zhen_SDR_23,Zhen_SDR_89,0.094339623
Zhen_SDR_23,Zhen_SDR_90,0.119402985
Zhen_SDR_23,Zhen_SDR_91,0.018181818
Zhen_SDR_23,Zhen_SDR_92,0.129901961
Zhen_SDR_23,Zhen_SDR_93,0.138888889
Zhen_SDR_19,Zhen_SDR_20,0.199312715
Zhen_SDR_19,Zhen_SDR_21,0.231060606
Zhen_SDR_19,Zhen_SDR_22,0.179104478
Zhen_SDR_19,Zhen_SDR_23,0.135416667
Zhen_SDR_19,Zhen_SDR_24,0.130208333
Zhen_SDR_19,Zhen_SDR_25,0.189873418
Zhen_SDR_19,Zhen_SDR_26,0.18429003
Zhen_SDR_19,Zhen_SDR_27,0.039408867
Zhen_SDR_19,Zhen_SDR_28,0.08
Zhen_SDR_19,Zhen_SDR_29,0.290076336
Zhen_SDR_19,Zhen_SDR_30,0.193548387
Zhen_SDR_19,Zhen_SDR_31,0.198653199
Zhen_SDR_19,Zhen_SDR_32,0.179012346
Zhen_SDR_19,Zhen_SDR_33,0.200743494
Zhen_SDR_19,Zhen_SDR_34,0.168539326
Zhen_SDR_19,Zhen_SDR_35,0.147540984
Zhen_SDR_19,Zhen_SDR_36,0.147887324
Zhen_SDR_19,Zhen_SDR_37,0.162251656
Zhen_SDR_19,Zhen_SDR_38,0.165517241
Zhen_SDR_19,Zhen_SDR_39,0.160377358
Zhen_SDR_19,Zhen_SDR_40,0.106583072
Zhen_SDR_19,Zhen_SDR_42,0.064171123
Zhen_SDR_19,Zhen_SDR_43,0.141914191
Zhen_SDR_19,Zhen_SDR_44,0.170138889
Zhen_SDR_19,Zhen_SDR_45,0.170138889
Zhen_SDR_19,Zhen_SDR_46,0.17114094
Zhen_SDR_19,Zhen_SDR_47,0.152694611
Zhen_SDR_19,Zhen_SDR_48,0.133928571
Zhen_SDR_19,Zhen_SDR_49,0.069364162
Zhen_SDR_19,Zhen_SDR_50,0.150159744
Zhen_SDR_19,Zhen_SDR_51,0.197761194
Zhen_SDR_19,Zhen_SDR_52,0.259109312
Zhen_SDR_19,Zhen_SDR_53,0.160278746
Zhen_SDR_19,Zhen_SDR_54,0.158054711
Zhen_SDR_19,Zhen_SDR_55,0.147766323
Zhen_SDR_19,Zhen_SDR_56,0.13592233
Zhen_SDR_19,Zhen_SDR_57,0.197718631
Zhen_SDR_19,Zhen_SDR_58,0.134285714
Zhen_SDR_19,Zhen_SDR_59,0.152173913
Zhen_SDR_19,Zhen_SDR_60,0.166666667
Zhen_SDR_19,Zhen_SDR_61,0.185873606
Zhen_SDR_19,Zhen_SDR_62,0.166666667
Zhen_SDR_19,Zhen_SDR_63,0.152777778
Zhen_SDR_19,Zhen_SDR_64,0.158249158
Zhen_SDR_19,Zhen_SDR_65,0.115294118
Zhen_SDR_19,Zhen_SDR_66,0.169014085
Zhen_SDR_19,Zhen_SDR_67,0.161993769
Zhen_SDR_19,Zhen_SDR_68,0.154385965
Zhen_SDR_19,Zhen_SDR_69,0.200743494
